         19686 function calls (19009 primitive calls) in 0.063 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       38    0.000    0.000    0.001    0.000 /Users/joshuasigma/Documents/Sigma/museum-dannyGs-codedungeon/transform/transform.py:103(<lambda>)
       96    0.000    0.000    0.001    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/logging/__init__.py:1148(emit)
       38    0.000    0.000    0.001    0.000 /Users/joshuasigma/Documents/Sigma/museum-dannyGs-codedungeon/transform/transform.py:84(is_valid_email)
       47    0.000    0.000    0.001    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/re/__init__.py:280(_compile)
       10    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1390(_handle_fromlist)
        1    0.000    0.000    0.001    0.001 {built-in method builtins.__import__}
       29    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
        4    0.000    0.000    0.001    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/re/_compiler.py:740(compile)
        8    0.000    0.000    0.001    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/re/__init__.py:226(compile)
       29    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1520(find_spec)
       29    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1491(_get_spec)
        3    0.000    0.000    0.001    0.000 /Users/joshuasigma/Documents/Sigma/museum-dannyGs-codedungeon/.venv/lib/python3.12/site-packages/pandas/core/frame.py:4062(__getitem__)
       43    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1593(find_spec)
        1    0.000    0.000    0.001    0.001 /Users/joshuasigma/Documents/Sigma/museum-dannyGs-codedungeon/.venv/lib/python3.12/site-packages/pandas/core/arrays/arrow/extension_types.py:1(<module>)
       48    0.000    0.000    0.001    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/logging/__init__.py:1266(emit)
        1    0.000    0.000    0.001    0.001 /Users/joshuasigma/Documents/Sigma/museum-dannyGs-codedungeon/.venv/lib/python3.12/site-packages/pandas/core/strings/accessor.py:129(wrapper)
        1    0.000    0.000    0.001    0.001 /Users/joshuasigma/Documents/Sigma/museum-dannyGs-codedungeon/.venv/lib/python3.12/site-packages/pandas/core/strings/accessor.py:1419(replace)
        4    0.000    0.000    0.001    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/re/_parser.py:969(parse)
     19/4    0.000    0.000    0.001    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/re/_parser.py:452(_parse_sub)
       96    0.000    0.000    0.001    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/logging/__init__.py:1137(flush)
     46/4    0.000    0.000    0.001    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/re/_parser.py:512(_parse)
        3    0.000    0.000    0.001    0.000 /Users/joshuasigma/Documents/Sigma/museum-dannyGs-codedungeon/.venv/lib/python3.12/site-packages/pandas/core/indexes/base.py:475(__new__)
        1    0.000    0.000    0.001    0.001 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/_strptime.py:261(compile)
        1    0.000    0.000    0.001    0.001 /Users/joshuasigma/Documents/Sigma/museum-dannyGs-codedungeon/.venv/lib/python3.12/site-packages/pyarrow/pandas_compat.py:891(_deserialize_column_index)
        1    0.000    0.000    0.001    0.001 /Users/joshuasigma/Documents/Sigma/museum-dannyGs-codedungeon/.venv/lib/python3.12/site-packages/pandas/core/indexes/base.py:2313(is_unique)
        1    0.001    0.001    0.001    0.001 /Users/joshuasigma/Documents/Sigma/museum-dannyGs-codedungeon/.venv/lib/python3.12/site-packages/pandas/core/arrays/arrow/extension_types.py:63(__init__)
       12    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:751(_compile_bytecode)
       12    0.001    0.000    0.001    0.000 {built-in method marshal.loads}
       96    0.001    0.000    0.001    0.000 {method 'flush' of '_io.TextIOWrapper' objects}
        1    0.000    0.000    0.001    0.001 /Users/joshuasigma/Documents/Sigma/museum-dannyGs-codedungeon/.venv/lib/python3.12/site-packages/pandas/core/strings/object_array.py:155(_str_replace)
        1    0.000    0.000    0.001    0.001 /Users/joshuasigma/Documents/Sigma/museum-dannyGs-codedungeon/.venv/lib/python3.12/site-packages/pandas/core/strings/object_array.py:46(_str_map)
        8    0.000    0.000    0.000    0.000 /Users/joshuasigma/Documents/Sigma/museum-dannyGs-codedungeon/.venv/lib/python3.12/site-packages/pandas/core/construction.py:517(sanitize_array)
        1    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/concurrent/futures/__init__.py:1(<module>)
       96    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/logging/__init__.py:988(format)
        4    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/re/_compiler.py:573(_code)
       96    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/logging/__init__.py:690(format)
       11    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/enum.py:726(__call__)
 1058/934    0.000    0.000    0.000    0.000 {built-in method builtins.len}
        2    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/enum.py:863(_create_)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1644(_fill_cache)
        3    0.000    0.000    0.000    0.000 {built-in method posix.listdir}
        5    0.000    0.000    0.000    0.000 /Users/joshuasigma/Documents/Sigma/museum-dannyGs-codedungeon/.venv/lib/python3.12/site-packages/pandas/core/series.py:389(__init__)
       48    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/logging/__init__.py:1645(makeRecord)
       26    0.000    0.000    0.000    0.000 {built-in method builtins.__build_class__}
1527/1523    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
     61/4    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/re/_compiler.py:37(_compile)
       48    0.000    0.000    0.000    0.000 /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/logging/__init__.py:298(__init__)
        6    0.000    0.000    0.000    0.000 /Users/joshuasigma/Documents/Sigma/museum-dannyGs-codedungeon/.venv/lib/python3.12/site-packages/pandas/core/indexes/base.py:5323(__contains__)
        3    0.000    0.000    0.000    0.000 /Users/joshuasigma/Documents/Sigma/museum-dannyGs-codedungeon/.venv/lib/python3.12/site-packages/pyarrow/pandas_compat.py:684(_reconstruct_block)
        3    0.000    0.000    0.000    0.000 /Users/joshuasigma/Documents/Sigma/museum-dannyGs-codedungeon/.venv/lib/python3.12/site-packages/pandas/core/internals/api.py:39(make_block)
        1    0.000    0.000    0.000    0.000 /Users/joshuasigma/Documents/Sigma/museum-dannyGs-codedungeon/.venv/lib/python3.12/site-packages/pandas/core/dtypes/cast.py:124(maybe_convert_platform)
